Tick:    1 | PC: 0000 | Act: 0x0080006F | t0:0 a0:0 a1:0
Tick:  295 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  296 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  297 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  298 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  299 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  300 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  300 | PC: 0024 | Act: TRAP FIRED! | t0:65620 a0:65536 a1:0
Tick:  301 | PC: 0004 | Act: 0x0600006F | t0:65620 a0:65536 a1:0
Tick:  302 | PC: 0064 | Act: 0x001023F3 | t0:65620 a0:65536 a1:0
Tick:  303 | PC: 0068 | Act: 0x00A00F13 | t0:65620 a0:65536 a1:0
Tick:  304 | PC: 006C | Act: 0x03E38063 | t0:65620 a0:65536 a1:0
Tick:  305 | PC: 0070 | Act: 0x00010E37 | t0:65620 a0:65536 a1:0
Tick:  306 | PC: 0074 | Act: 0x050E0E13 | t0:65620 a0:65536 a1:0
Tick:  307 | PC: 0078 | Act: 0x000E2E83 | t0:65620 a0:65536 a1:0
Tick:  308 | PC: 007C | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  309 | PC: 007C | Act: 0x007EA023 | t0:65620 a0:65536 a1:0
Tick:  310 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  311 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  312 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  313 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  314 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  315 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  316 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  317 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  318 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  319 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  320 | PC: 0080 | Act: 0x004E8E93 | t0:65620 a0:65536 a1:0
